facility_id,name,city,state,facilityTypeId,operatorTypeId,claimed_capabilities,score,summary_text,description,unstructured_blob,label_icu,label_nicu,label_dialysis,label_oncology,label_general_surgery,label_trauma_emergency,label_emergency_appendectomy,label_cardiac_care,label_emergency_24x7,label_anesthesiologist,notes_for_labeler
vf_009377,Sun Hospital and Rehabilitation Center,Badgaon,Rajasthan,hospital,private,['mental_health' 'physiotherapy'],70.0,"Sun Hospital and Rehabilitation Center | Badgaon, Rajasthan | type=hospital | specialties=addictionPsychiatry,physicalMedicineAndRehabilitation,internalMedicine | Rehabilitation Center for Women located in Badgaon, Udaipur, Rajasthan.","Rehabilitation Center for Women located in Badgaon, Udaipur, Rajasthan.","DESCRIPTION:
Rehabilitation Center for Women located in Badgaon, Udaipur, Rajasthan.

SPECIALTIES:
- addictionPsychiatry
- physicalMedicineAndRehabilitation
- internalMedicine

CAPABILITY CLAIMS:
- Offers free consultation
- Located in Badgaon, Udaipur, Rajasthan
- Female-only rehabilitation program
- Trusted by over 5,000 families
- Provides Internet addiction treatment
- Luxury rehabilitation center for women
- Offers nutritional counseling

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_002709,"Dentcity, Malda",English Bazar,West Bengal,clinic,private,['dental'],70.0,"Dentcity, Malda | English Bazar, West Bengal | type=clinic | specialties=dentistry,familyMedicine | Dentcity is a complete oral health care clinic which provides all types of modern dental procedures in minimum cost.",Dentcity is a complete oral health care clinic which provides all types of modern dental procedures in minimum cost.,"DESCRIPTION:
Dentcity is a complete oral health care clinic which provides all types of modern dental procedures in minimum cost.

SPECIALTIES:
- dentistry
- familyMedicine

PROCEDURES:
- Filling (Restoration)
- Scaling and Polishing
- Crown and Bridge
- Extraction
- Root Canal Treatment (R.C.T.)

CAPABILITY CLAIMS:
- Dentcity, Malda is an oral health care clinic
- Provides all types of modern dental procedures

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_008213,Raadhi Dental Center,Tirunelveli,Tamil Nadu,clinic,,['dental'],70.0,"Raadhi Dental Center | Tirunelveli, Tamil Nadu | type=clinic | specialties=dentistry,familyMedicine | Advanced implant care",Advanced implant care,"DESCRIPTION:
Advanced implant care

SPECIALTIES:
- dentistry
- familyMedicine

PROCEDURES:
- Performs dental implant procedures
- Performs Emax veneers

CAPABILITY CLAIMS:
- Offers advanced dental implant care
- Cosmetic dentistry services including Emax veneers
- Based in Tirunelveli, Tamil Nadu, India

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_003313,Dr Rajashree Clinical & Pathological Laboratory,Mumbai,Maharashtra,clinic,private,['lab_diagnostics'],70.0,"Dr Rajashree Clinical & Pathological Laboratory | Mumbai, Maharashtra | type=clinic | specialties=pathology,familyMedicine | Pathological Lab",Pathological Lab,"DESCRIPTION:
Pathological Lab

SPECIALTIES:
- pathology
- familyMedicine

CAPABILITY CLAIMS:
- Page category is Medical Center.
- Page created on April 12, 2017.
- Operates a pathological laboratory

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_008473,Saffron Naturopathy Clinic,Mumbai,Maharashtra,clinic,private,[],60.0,"Saffron Naturopathy Clinic | Mumbai, Maharashtra | type=clinic | specialties=familyMedicine | Under the teachings of vaidya Shree karshanbhai Patel, the saffron naturopathic clinic is successful for the last 5 decades in curing more than lakhs of patients with major as well as minor diseases. Also in providing a remedy, as saffron naturopath clinic believes in stopping the disease from entering the human body by providing natural remedies and making nature cure as a lifestyle instead of treating it as a medicine.","Under the teachings of vaidya Shree karshanbhai Patel, the saffron naturopathic clinic is successful for the last 5 decades in curing more than lakhs of patients with major as well as minor diseases. Also in providing a remedy, as saffron naturopath clinic believes in stopping the disease from entering the human body by providing natural remedies and making nature cure as a lifestyle instead of treating it as a medicine.","DESCRIPTION:
Under the teachings of vaidya Shree karshanbhai Patel, the saffron naturopathic clinic is successful for the last 5 decades in curing more than lakhs of patients with major as well as minor diseases. Also in providing a remedy, as saffron naturopath clinic believes in stopping the disease from entering the human body by providing natural remedies and making nature cure as a lifestyle instead of treating it as a medicine.

SPECIALTIES:
- familyMedicine

PROCEDURES:
- Provides naturopathy consultations

CAPABILITY CLAIMS:
- Part of Saffron 4 Health Pvt. Ltd.
- Operates under the teachings of Vaidya Shree Karshanbhai Patel
- Promotes nature cure as a lifestyle rather than just medicine
- Has treated lakhs of patients over the past five decades

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_001397,Bacchu Medical,Mumbai,Maharashtra,farmacy,private,['pharmacy'],70.0,"Bacchu Medical | Mumbai, Maharashtra | type=farmacy | specialties=internalMedicine | Medical laboratory",Medical laboratory,"DESCRIPTION:
Medical laboratory

SPECIALTIES:
- internalMedicine

CAPABILITY CLAIMS:
- Allopathic pharmacy services
- Medical laboratory
- Pharmacy in Govandi West, Mumbai

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_006203,Jones Homeopathy Clinic,Canning Town,West Bengal,clinic,private,[],60.0,"Jones Homeopathy Clinic | Canning Town, West Bengal | type=clinic | specialties=familyMedicine | Jones Homeopathy Clinic",Jones Homeopathy Clinic,"DESCRIPTION:
Jones Homeopathy Clinic

SPECIALTIES:
- familyMedicine

CAPABILITY CLAIMS:
- The Facebook page shows 'Not yet rated' with 3 reviews.
- Has been in healthcare for 34 years
- Has a Facebook page on Facebook named 'Jones Homeopathy Clinic'.
- Has 1.7K likes and 1.7K followers on its Facebook page.
- Specializes in homeopathy treatment
- Located in Sonarpur, Kolkata, West Bengal
- In June 2018, Jones Homeopathy Clinic announced that Dr. Amr Krishna Das would visit the city; registration by phone 973-3567-223.

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_000435,Agrawal Nursing Home - Solapur,Solapur,Solapur,hospital,,[],60.0,"Agrawal Nursing Home - Solapur | Solapur, Solapur | type=hospital | specialties=internalMedicine | Listed in Bajaj Allianz Network Hospitals List in Solapur",Listed in Bajaj Allianz Network Hospitals List in Solapur,"DESCRIPTION:
Listed in Bajaj Allianz Network Hospitals List in Solapur

SPECIALTIES:
- internalMedicine

CAPABILITY CLAIMS:
- Listed as a Bajaj Allianz network hospital in Solapur
- Bajaj Allianz network hospital in Solapur
- Cashless hospitalization available for Bajaj Allianz policyholders

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_007697,Nayanam Eye Hospital,Malad West,Mumbai,hospital,private,['general_surgery' 'ophthalmology'],50.0,"Nayanam Eye Hospital | Malad West, Mumbai | type=hospital | specialties=cataractAndAnteriorSegmentSurgery,internalMedicine,ophthalmology | Nayanam Eye Hospital is listed on Practo in association with ophthalmologists in Mumbai.",Nayanam Eye Hospital is listed on Practo in association with ophthalmologists in Mumbai.,"DESCRIPTION:
Nayanam Eye Hospital is listed on Practo in association with ophthalmologists in Mumbai.

SPECIALTIES:
- cataractAndAnteriorSegmentSurgery
- internalMedicine
- ophthalmology

PROCEDURES:
- Cataract treatment is provided by ophthalmologists at Nayanam Eye Hospital

CAPABILITY CLAIMS:
- Cataract services offered via ophthalmologists at the clinic
- Dr. Roshani Desai is an ophthalmologist at the clinic with 18 years of experience
- Ophthalmology clinic located in Malad West, Mumbai
- Dr. Roshani Desai specializes in Cataract

EQUIPMENT:
(none listed)",,,,,,,,,,,
vf_006781,Klinik Dentika Dental Clinic,Gurgaon,Haryana,clinic,private,['general_surgery' 'dental'],50.0,"Klinik Dentika Dental Clinic | Gurgaon, Haryana | type=clinic | specialties=familyMedicine,dentalAnesthesia,orthodontics,periodontics,aestheticDentistry,oralAndMaxillofacialSurgery,pediatricDentistry,dentistry,endodontics | Klinik Dentika Dental Clinic is a multi-speciality dental clinic in Gurgaon offering pediatric dentistry, root canal treatment, dental implants, teeth whitening, braces, cosmetic dentistry, and sedation dentistry; the team includes specialists in pediatric dentistry, endodontics, orthodontics, oral and maxillofacial surgery, and periodontics.","Klinik Dentika Dental Clinic is a multi-speciality dental clinic in Gurgaon offering pediatric dentistry, root canal treatment, dental implants, teeth whitening, braces, cosmetic dentistry, and sedation dentistry; the team includes specialists in pediatric dentistry, endodontics, orthodontics, oral and maxillofacial surgery, and periodontics.","DESCRIPTION:
Klinik Dentika Dental Clinic is a multi-speciality dental clinic in Gurgaon offering pediatric dentistry, root canal treatment, dental implants, teeth whitening, braces, cosmetic dentistry, and sedation dentistry; the team includes specialists in pediatric dentistry, endodontics, orthodontics, oral and maxillofacial surgery, and periodontics.

SPECIALTIES:
- familyMedicine
- dentalAnesthesia
- orthodontics
- periodontics
- aestheticDentistry
- oralAndMaxillofacialSurgery
- pediatricDentistry
- dentistry
- endodontics

PROCEDURES:
- Braces treatment
- Crowns and Bridges Fixing
- Dental implant fixing
- Dental Implant Fixing
- Cosmetic Veneers / Bonding
- Dental consultation
- Dental scaling and polishing
- Pulpectomy
- Dental filling
- Dental Implants
- Implant Retained Dentures
- Pediatric Dentistry
- Root canal treatment
- Zirconia crown placement
- Ceramic Veneers / Crowns
- Tooth Extraction
- Orthodontic Treatment
- Sedation dentistry
- Cosmetic dentistry
- Dental Checkup (General)
- Scaling / Polishing
- Teeth whitening

CAPABILITY CLAIMS:
- Imaging service available at the clinic
- Provides comprehensive dental care for children and adults
- Team of specialists includes Pediatric Dentist, Endodontist, Orthodontist, Oral and Maxillofacial Surgeon, and Periodontist
- Located in South City-II, Gurgaon
- Has 1 pediatric dentist on staff
- Provides zirconia crowns and dental implants
- Dental tourism support including travel assistance and insurance assistance
- Multi-speciality clinic
- Specializes in endodontics and conservative dentistry
- Serves patients from abroad, expats, dental tourists, and local area
- Dr. Vaibhav Juneja is a pediatric dentist with 14 years of experience
- Multi-speciality dental clinic
- Provides pediatric dentistry services
- Provides comprehensive dental care for children and adults under one roof
- Outpatient dental clinic
- Offers general dentistry services

EQUIPMENT:
- Computerized patient details system
- Protaper Endo
- Nitrous oxide system
- Intraoral video camera
- Semi-automatic dental chairs",,,,,,,,,,,
